TimeStep,Context,qd_norm,tau_actual_norm,tau_planned_norm,p_norm,r_norm,residual_raw,residual_clipped,EWMA_Fast,EWMA_Slow,EWMA_Delta,Threshold,Attack_Flag
84,0,3.39689,283.071,31.1482,0.810311,278.604,278.604,100,0,0,0,0,0
85,0,3.42219,283.25,31.2625,0.774949,279.541,279.541,100,0,0,0,0,0
86,0,3.2038,294.295,31.3387,0.693287,291.301,291.301,100,0,0,0,0,0
87,0,2.22503,314.768,31.4148,0.731108,290.951,290.951,100,0,0,0,0,0
88,0,1.6911,317.367,31.5097,0.728,300.699,300.699,100,0,0,0,0,0
89,0,3.26685,320.671,31.5666,0.636872,298.449,298.449,100,0,0,0,0,0
90,0,1.78849,321.144,31.6235,0.712694,297.098,297.098,100,0,0,0,0,0
91,0,3.20459,309.259,31.6614,0.654971,301.038,301.038,100,0,0,0,0,0
92,0,3.50863,301.131,31.7181,0.765616,292.562,292.562,100,0,0,0,0,0
93,0,2.11997,326.845,31.756,0.71624,307.011,307.011,100,0,0,0,0,0
94,0,1.80503,326.601,31.8126,0.686033,303.032,303.032,100,0,0,0,0,0
95,0,3.17191,309.174,31.907,0.68011,307.178,307.178,100,0,0,0,0,0
96,0,3.22109,331.819,31.9635,0.658291,314.302,314.302,100,0,0,0,0,0
97,0,2.16209,317.992,32.0388,0.758928,297.333,297.333,100,0,0,0,0,0
98,0,3.60094,322.344,32.0953,0.780558,307.61,307.61,100,0,0,0,0,0
99,0,3.11291,339.668,32.1892,0.690353,318.993,318.993,100,0,0,0,0,0
100,0,3.05345,327.01,32.2642,0.70805,320.323,320.323,100,0,0,0,0,0
101,0,3.65341,331.309,32.339,0.795944,318.939,318.939,100,0,0,0,0,0
102,0,3.68027,335.315,32.4325,0.791923,326.162,326.162,100,0,0,0,0,0
103,0,3.10626,351.484,32.4885,0.664863,335.534,335.534,100,0,0,0,0,0
104,0,3.72239,360.453,32.5631,0.782699,332.154,332.154,100,0,0,0,0,0
105,0,3.18022,339.501,32.6003,0.630347,337.909,337.909,100,0,0,0,0,0
106,0,2.67938,341.167,32.6747,0.697829,333.771,333.771,100,0,0,0,0,0
107,0,2.02825,367.174,32.7118,0.685497,347.348,347.348,100,0,0,0,0,0
108,0,2.13987,352.627,32.8046,0.630169,346.455,346.455,100,0,0,0,0,0
109,0,3.07851,348.338,32.8231,0.715391,340.705,340.705,100,0,0,0,0,0
110,0,3.76737,361.052,32.8416,0.793894,347.666,347.666,100,0,0,0,0,0
111,0,3.0409,351.058,32.8971,0.665473,353.415,353.415,100,0,0,0,0,0
112,0,2.4083,368.911,32.9341,0.730683,348.44,348.44,100,0,0,0,0,0
113,0,1.84332,382.054,33.0264,0.761062,357.14,357.14,100,0,0,0,0,0
114,0,3.80954,382.684,33.1185,0.850612,364.304,364.304,100,0,0,0,0,0
115,0,2.30601,371.289,33.192,0.691459,364.627,364.627,100,0,0,0,0,0
116,0,1.84436,390.393,33.2471,0.758404,369.991,369.991,100,0,0,0,0,0
117,0,2.43143,380.076,33.3203,0.621947,361.857,361.857,100,0,0,0,0,0
118,0,1.91465,379.257,33.3752,0.676103,368.445,368.445,100,0,0,0,0,0
119,0,3.02273,387.504,33.43,0.59008,375.29,375.29,100,0,0,0,0,0
120,0,3.68843,377.849,33.503,0.800249,364.78,364.78,100,0,0,0,0,0
121,0,2.48198,401.223,33.5576,0.761042,378.685,378.685,100,0,0,0,0,0
122,0,2.8527,393.427,33.6121,0.670047,380.061,380.061,100,0,0,0,0,0
123,0,3.94472,384.264,33.6666,0.908902,365.613,365.613,100,0,0,0,0,0
124,0,1.9226,399.355,33.7029,0.720574,390.325,390.325,100,0,0,0,0,0
125,0,3.32806,388.649,33.7933,0.766187,380.425,380.425,100,0,0,0,0,0
126,0,3.75118,414.033,33.8295,0.861395,391.35,391.35,100,0,0,0,0,0
127,0,1.92499,404.126,33.9016,0.670591,388.875,388.875,100,0,0,0,0,0
128,0,2.86907,394.627,33.9736,0.610443,394.905,394.905,100,0,0,0,0,0
129,0,1.70585,424.981,34.0634,0.719638,398.488,398.488,100,0,0,0,0,0
130,0,2.67079,411.412,34.0992,0.618688,397.214,397.214,100,0,0,0,0,0
131,0,2.44447,418.384,34.1887,0.775755,397.351,397.351,100,0,0,0,0,0
132,0,3.73335,414.851,34.26,0.848923,402.932,402.932,100,0,0,0,0,0
133,0,2.76392,409.39,34.3312,0.663685,410.547,410.547,100,0,0,0,0,0
134,0,2.10761,420.923,34.3845,0.723775,404.351,404.351,100,0,0,0,0,0
135,0,1.68177,439.644,34.42,0.722348,413.952,413.952,100,0,0,0,0,0
136,0,2.83453,414.996,34.4731,0.631647,412.16,412.16,100,0,0,0,0,0
137,0,2.83453,414.996,34.4731,0.631647,411.804,411.804,100,0,0,0,0,0
138,0,3.74758,445.606,34.5615,0.904907,418.722,418.722,100,0,0,0,0,0
139,0,2.66335,430.324,34.6143,0.72746,420.073,420.073,100,0,0,0,0,0
140,0,2.74831,430.324,34.6143,0.694919,419.268,419.268,100,0,0,0,0,0
141,0,3.61921,450.019,34.7022,0.893936,417.61,417.61,100,0,0,0,0,0
142,0,3.76005,454.542,34.7899,0.888239,432.287,432.287,100,0,0,0,0,0
143,0,3.59485,434.739,34.912,0.790541,430.534,430.534,100,0,0,0,0,0
144,0,2.46571,443.639,34.999,0.579035,432.597,432.597,100,0,0,0,0,0
145,0,2.63246,440.789,35.1029,0.636697,436.708,436.708,100,0,0,0,0,0
146,0,1.76545,473.431,35.1892,0.748655,443.615,443.615,100,0,0,0,0,0
147,0,2.57223,451.152,35.2236,0.641483,441.979,441.979,100,0,0,0,0,0
148,0,3.73244,478.199,35.2923,0.906611,446.344,446.344,100,0,0,0,0,0
149,0,2.62393,479.816,35.3266,0.680669,462.035,462.035,100,0,0,0,0,0
150,0,2.23744,451.205,35.395,0.780342,431.125,431.125,100,0,0,0,0,0
151,0,3.73408,483.975,35.4633,0.958043,458.793,458.793,100,0,0,0,0,0
152,0,1.84607,455.868,35.5143,0.727375,450.058,450.058,100,0,0,0,0,0
153,0,2.35663,475.93,35.6329,0.859613,457.133,457.133,100,0,0,0,0,0
154,0,2.91364,481.489,35.734,0.892327,466.821,466.821,100,0,0,0,0,0
155,0,1.81804,483.122,35.8514,0.736794,472.258,472.258,100,0,0,0,0,0
156,0,3.55752,472.699,35.9349,0.894848,467.774,467.774,100,0,0,0,0,0
157,0,1.90192,475.821,36.0346,0.638241,459.665,459.665,100,0,0,0,0,0
158,0,2.71229,505.879,36.0842,0.833277,475.366,475.366,100,0,0,0,0,0
159,0,2.50731,480.088,36.1173,0.631459,477.382,477.382,100,0,0,0,0,0
160,0,1.87385,474.404,36.1831,0.74945,463.671,463.671,100,0,0,0,0,0
161,0,3.30645,499.572,36.2324,0.873322,471.767,471.767,100,0,0,0,0,0
162,0,2.59285,481.624,36.2652,0.607921,481.616,481.616,100,0,0,0,0,0
163,0,2.71056,481.895,36.3306,0.626862,469.475,469.475,100,0,0,0,0,0
164,0,4.1011,496.946,36.3632,0.988247,473.716,473.716,100,0,0,0,0,0
165,0,1.5648,490.735,36.4282,0.796117,485.816,485.816,100,0,0,0,0,0
166,0,2.81879,527.137,36.5252,0.927819,497.785,497.785,100,0,0,0,0,0
167,0,2.55222,507.372,36.6538,0.971154,488.952,488.952,100,0,0,0,0,0
168,0,2.3547,500.719,36.7655,1.18205,486.407,486.407,100,0,0,0,0,0
169,0,3.0172,482.509,36.8448,1.22899,480.78,480.78,100,0,0,0,0,0
170,0,2.35842,472.592,36.9395,1.23214,465.472,465.472,100,0,0,0,0,0
171,0,2.14085,489.797,37.0022,1.68155,461.747,461.747,100,0,0,0,0,0
172,0,2.83366,439.753,37.0959,1.91907,436.576,436.576,100,0,0,0,0,0
173,0,3.86725,451.751,37.127,2.15378,442.458,442.458,100,0,0,0,0,0
174,0,2.91553,494.373,37.2044,2.31484,451.039,451.039,100,0,0,0,0,0
175,0,2.50557,412.878,37.2968,2.47194,421.18,421.18,100,0,0,0,0,0
176,0,2.57994,492.873,37.4038,2.60112,451.804,451.804,100,0,0,0,0,0
177,0,2.3531,391.692,37.4645,2.72165,409.589,409.589,100,0,0,0,0,0
178,0,2.96641,402.263,37.6151,2.69126,400.854,400.854,100,0,0,0,0,0
179,0,2.31455,379.758,37.764,2.73534,388.115,388.115,100,0,0,0,0,0
180,0,3.26177,376.259,37.8817,2.64953,380.934,380.934,100,0,0,0,0,0
181,0,3.11266,365.523,38.0127,2.57767,372.17,372.17,100,0,0,0,0,0
182,0,3.75769,437.588,38.1279,2.62719,386.946,386.946,100,0,0,0,0,0
183,0,3.20741,357.046,38.2135,2.68255,374.333,374.333,100,0,0,0,0,0
184,0,3.56897,342.679,38.2843,2.63608,349.84,349.84,100,0,0,0,0,0
185,0,3.6908,344.16,38.3825,2.6039,344.868,344.868,100,0,0,0,0,0
186,0,2.4932,342.646,38.4382,2.63471,345.376,345.376,100,0,0,0,0,0
187,0,3.56953,408.793,38.4936,2.64424,371.397,371.397,100,0,0,0,0,0
188,0,3.51069,335.812,38.5486,2.60493,337.504,337.504,100,0,0,0,0,0
189,0,3.57403,365.525,38.5897,2.5992,353.194,353.194,100,0,0,0,0,0
190,0,2.20189,331.498,38.7253,2.52661,338.61,338.61,100,0,0,0,0,0
191,0,3.64401,321.532,38.7789,2.44745,325.507,325.507,100,0,0,0,0,0
192,0,3.63335,325.981,38.9246,2.36241,324.01,324.01,100,0,0,0,0,0
193,0,3.26803,359.914,39.0548,2.29159,338.99,338.99,100,0,0,0,0,0
194,0,2.12076,315.275,39.1191,2.29687,315.022,315.022,100,0,0,0,0,0
195,0,2.2649,313.602,39.2334,2.22555,304.57,304.57,100,0,0,0,0,0
196,0,3.61323,303.689,39.3582,2.18232,300.863,300.863,100,0,0,0,0,0
197,0,4.58316,325.017,39.4442,2.24036,301.903,301.903,100,0,0,0,0,0
198,0,3.59954,328.34,39.5049,2.05949,299.093,299.093,100,0,0,0,0,0
199,0,4.03482,320.146,39.6009,2.18454,292.34,292.34,100,0,0,0,0,0
200,0,3.56678,368.404,39.6365,2.13007,313.196,313.196,100,0,0,0,0,0
201,0,4.95254,373.139,39.7303,2.33091,328.918,328.918,100,0,0,0,0,0
202,0,3.52661,311.051,39.7651,2.16467,301.183,301.183,100,0,0,0,0,0
203,0,4.06744,266.316,39.834,2.18872,275.197,275.197,100,0,0,0,0,0
204,0,2.37021,333.154,39.902,2.1966,281.488,281.488,100,0,0,0,0,0
205,0,4.54072,343.247,39.9469,2.32584,300.638,300.638,100,0,0,0,0,0
206,0,2.81271,283.76,40.0681,2.17993,292.467,292.467,100,0,0,0,0,0
207,0,3.82689,251.067,40.1437,1.98969,242.424,242.424,100,0,0,0,0,0
208,0,3.47612,268.887,40.2285,2.08669,250.912,250.912,100,0,0,0,0,0
209,0,3.84183,250.283,40.2807,1.95865,244.81,244.81,100,0,0,0,0,0
210,0,3.90673,216.817,40.3424,1.94912,224.555,224.555,100,0,0,0,0,0
211,0,3.7014,257.153,40.4031,2.05618,233.736,233.736,100,0,0,0,0,0
212,0,3.90284,210.53,40.4629,1.9572,216.497,216.497,100,0,0,0,0,0
213,0,3.24309,249.633,40.4827,2.01978,226.677,226.677,100,0,0,0,0,0
214,0,4.28959,269.123,40.5218,2.08918,221.712,221.712,100,0,0,0,0,0
215,0,3.95732,237.545,40.5892,1.99039,214.672,214.672,100,0,0,0,0,0
216,0,4.03303,262.507,40.6271,2.11901,226.322,226.322,100,0,0,0,0,0
217,0,3.88806,225.342,40.6831,2.05875,210.555,210.555,100,0,0,0,0,0
218,0,3.91306,279.906,40.7472,2.14615,232.022,232.022,100,0,0,0,0,0
219,0,2.53293,268.974,40.8451,2.10121,242.604,242.604,100,0,0,0,0,0
220,0,4.1005,265.19,40.9311,2.10121,246.179,246.179,100,0,0,0,0,0
221,0,2.0907,217.46,41.0224,2.10489,202.259,202.259,100,0,0,0,0,0
222,0,3.84992,211.182,41.0706,2.10002,196.551,196.551,100,0,0,0,0,0
223,0,3.84141,269.621,41.1411,2.103,212.372,212.372,100,0,0,0,0,0
224,0,2.36218,240.898,41.2016,2.09644,224.322,224.322,100,0,0,0,0,0
225,0,3.39879,270.836,41.2458,2.09259,247.4,247.4,100,0,0,0,0,0
226,0,3.63051,275.168,41.2602,2.09026,251.494,251.494,100,0,0,0,0,0
227,0,3.08497,279.15,41.3099,2.08518,266.397,266.397,100,0,0,0,0,0
228,0,3.54681,228.975,41.3238,2.06627,211.76,211.76,100,0,0,0,0,0
229,0,3.12075,275.668,41.3649,2.0526,237.783,237.783,100,0,0,0,0,0
230,0,1.56366,235.821,41.4048,2.03928,212.991,212.991,100,0,0,0,0,0
231,0,3.40819,279.441,41.4371,2.03472,234.354,234.354,100,0,0,0,0,0
232,0,3.41879,228.382,41.4812,2.05002,210.302,210.302,100,0,0,0,0,0
233,0,3.34553,233.95,41.5355,2.0223,214.525,214.525,100,0,0,0,0,0
234,0,3.22529,243.188,41.6038,2.03484,221.794,221.794,100,0,0,0,0,0
235,0,3.36473,237.747,41.631,2.02473,226.226,226.226,100,0,0,0,0,0
236,0,3.35021,289.175,41.6726,2.04015,224.129,224.129,100,0,0,0,0,0
237,0,3.20175,290.167,41.717,2.03018,250.471,250.471,100,0,0,0,0,0
238,0,3.23407,251.818,41.7405,2.06119,247.977,247.977,100,0,0,0,0,0
239,0,1.72894,238.116,41.7631,2.08791,222.359,222.359,100,0,0,0,0,0
240,0,3.32057,230.729,41.7676,2.08349,223.846,223.846,100,0,0,0,0,0
241,0,3.26551,290.797,41.7976,2.06878,239.175,239.175,100,0,0,0,0,0
